2012-05-09 17:05:37,609 | [11] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 17:05:42,813 | [18] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"09/05/2012","CreateDateSt":"09/05/2012","ElapsedMilliseconds":931};
2012-05-09 17:08:36,310 | [12] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 17:08:37,247 | [19] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 17:08:40,199 | [11] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"09/05/2012","CreateDateSt":"09/05/2012","ElapsedMilliseconds":800};
2012-05-09 17:11:12,347 | [8] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 17:11:13,362 | [12] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 17:11:16,361 | [11] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"09/05/2012","CreateDateSt":"09/05/2012","ElapsedMilliseconds":778};
2012-05-09 17:13:00,159 | [13] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 17:13:01,049 | [13] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 17:13:04,531 | [8] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":769};
2012-05-09 17:13:35,250 | [8] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SaveConfigurationPrinciple","Id":17,"Code":"CONF-4","Success":true,"Message":"Save Configuration Principle Completed."};
2012-05-09 17:13:36,281 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":864};
2012-05-09 17:22:00,653 | [20] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 17:22:00,684 | [25] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 17:53:56,030 | [13] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 17:53:56,046 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 17:55:52,687 | [12] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 17:55:53,469 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 17:56:07,224 | [16] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 17:56:08,662 | [15] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 17:56:15,071 | [16] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 17:56:16,556 | [11] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 17:56:38,064 | [12] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":5379};
2012-05-09 18:00:47,478 | [10] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 18:00:48,087 | [10] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 18:07:01,682 | [13] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 18:07:01,744 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 18:13:14,600 | [16] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 18:13:15,615 | [8] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 18:13:18,348 | [16] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 18:13:20,020 | [8] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 18:13:44,450 | [19] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SaveProfilePrinciple","Id":0,"Code":"PROF-2","Success":true,"Message":"Save Profile Principle Completed."};
2012-05-09 18:13:50,589 | [7] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"09/05/2012","CreateDateSt":"09/05/2012","ElapsedMilliseconds":3691};
