2012-05-08 15:44:39,088 | [11] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004411 seconds. Path file: /Dcm/GenComboboxGeneration;
2012-05-08 15:44:42,665 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003915 seconds. Path file: /Dcm/GenComboboxHardwareGenerationByType;
2012-05-08 15:44:42,665 | [10] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004321 seconds. Path file: /Dcm/GenComboboxMicGenerationByType;
2012-05-08 15:44:49,975 | [15] | DEBUG | DcmWeb.Controllers.DcmController | {method:SearchAll, type:ALL, code:, name:, status:ALL, effectiveDateSt:, createDateSt:, elapsedMilliseconds:2525};
2012-05-08 15:44:49,991 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0097193 seconds. Path file: /Dcm/SearchAll;
2012-05-08 15:44:55,505 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {method:SchemeSearchAll, name:, code:, status:ALL, principleCode:, effectiveDateSt:, effectiveTimeSt:, elapsedMilliseconds:1324};
2012-05-08 15:44:55,505 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0024753 seconds. Path file: /Dcm/SchemeSearchAll;
2012-05-08 15:45:02,956 | [10] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0044599 seconds. Path file: /Dcm/GenerationManageDeviceSearchAll;
2012-05-08 16:19:33,957 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | {"ElapsedTimeSeconds":2.983879,"PathFile":"/"};
2012-05-08 16:19:44,610 | [19] | INFO  | DcmWeb.Filters.ProfileResultAttribute | {"ElapsedTimeSeconds":0.0015562,"PathFile":"/Dcm/GenComboboxObdGenerationByType"};
2012-05-08 16:19:45,423 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | {"ElapsedTimeSeconds":0.0005225,"PathFile":"/Dcm/GenComboboxGeneration"};
2012-05-08 16:19:45,719 | [17] | INFO  | DcmWeb.Filters.ProfileResultAttribute | {"ElapsedTimeSeconds":0.0004217,"PathFile":"/Dcm/GenComboboxGeneration"};
2012-05-08 16:19:45,751 | [20] | INFO  | DcmWeb.Filters.ProfileResultAttribute | {"ElapsedTimeSeconds":0.0049632,"PathFile":"/Dcm/SearchGenerationSummary"};
2012-05-08 16:19:45,751 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | {"ElapsedTimeSeconds":0.0049632,"PathFile":"/Dcm/SearchGenerationSummary"};
2012-05-08 16:19:49,625 | [16] | INFO  | DcmWeb.Filters.ProfileResultAttribute | {"ElapsedTimeSeconds":0.00034409999999999996,"PathFile":"/Dcm/GenComboboxHardwareGenerationByType"};
2012-05-08 16:19:49,625 | [18] | INFO  | DcmWeb.Filters.ProfileResultAttribute | {"ElapsedTimeSeconds":0.0004429,"PathFile":"/Dcm/GenComboboxMicGenerationByType"};
2012-05-08 16:20:22,349 | [16] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":4323};
2012-05-08 16:20:24,552 | [16] | INFO  | DcmWeb.Filters.ProfileResultAttribute | {"ElapsedTimeSeconds":0.005148,"PathFile":"/Dcm/SearchAll"};
2012-05-08 16:46:59,520 | [16] | INFO  | DcmWeb.Filters.ProfileResultAttribute | {"ElapsedTimeSeconds":2.807781,"PathFile":"/"};
2012-05-08 16:47:07,680 | [16] | INFO  | DcmWeb.Filters.ProfileResultAttribute | {"ElapsedTimeSeconds":0.0015577,"PathFile":"/Dcm/GenComboboxObdGenerationByType"};
2012-05-08 16:47:08,112 | [10] | INFO  | DcmWeb.Filters.ProfileResultAttribute | {"ElapsedTimeSeconds":0.00069029999999999992,"PathFile":"/Dcm/GenComboboxGeneration"};
2012-05-08 16:47:08,435 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | {"ElapsedTimeSeconds":0.0005565,"PathFile":"/Dcm/GenComboboxGeneration"};
2012-05-08 16:47:08,466 | [12] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-08 16:47:08,466 | [12] | INFO  | DcmWeb.Filters.ProfileResultAttribute | {"ElapsedTimeSeconds":0.0046777,"PathFile":"/Dcm/SearchGenerationSummary"};
2012-05-08 16:47:08,482 | [15] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-08 16:47:08,482 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | {"ElapsedTimeSeconds":0.0012526,"PathFile":"/Dcm/SearchGenerationSummary"};
2012-05-08 16:47:12,369 | [13] | INFO  | DcmWeb.Filters.ProfileResultAttribute | {"ElapsedTimeSeconds":0.00021109999999999998,"PathFile":"/Dcm/GenComboboxHardwareGenerationByType"};
2012-05-08 16:47:12,369 | [11] | INFO  | DcmWeb.Filters.ProfileResultAttribute | {"ElapsedTimeSeconds":0.0004165,"PathFile":"/Dcm/GenComboboxMicGenerationByType"};
2012-05-08 16:47:39,453 | [15] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":2230};
2012-05-08 16:47:39,453 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | {"ElapsedTimeSeconds":0.0047501999999999996,"PathFile":"/Dcm/SearchAll"};
2012-05-08 16:49:08,849 | [11] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SchemeSearchAll","Name":"","Code":"","Status":"ALL","PrincipleCode":"","EffectiveDateSt":"","EffectiveTimeSt":"","ElapsedMilliseconds":1400};
2012-05-08 16:49:08,849 | [11] | INFO  | DcmWeb.Filters.ProfileResultAttribute | {"ElapsedTimeSeconds":0.0024714,"PathFile":"/Dcm/SchemeSearchAll"};
2012-05-08 17:32:48,201 | [16] | INFO  | DcmWeb.Filters.ProfileResultAttribute | {"ElapsedTimeSeconds":1.2888937,"PathFile":"/"};
2012-05-08 17:32:56,215 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | {"ElapsedTimeSeconds":0.0016363999999999999,"PathFile":"/Dcm/GenComboboxObdGenerationByType"};
2012-05-08 17:32:57,136 | [17] | INFO  | DcmWeb.Filters.ProfileResultAttribute | {"ElapsedTimeSeconds":0.0005262,"PathFile":"/Dcm/GenComboboxGeneration"};
2012-05-08 17:32:57,183 | [18] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-08 17:32:57,199 | [10] | INFO  | DcmWeb.Filters.ProfileResultAttribute | {"ElapsedTimeSeconds":0.00039089999999999996,"PathFile":"/Dcm/GenComboboxGeneration"};
2012-05-08 17:32:57,214 | [18] | INFO  | DcmWeb.Filters.ProfileResultAttribute | {"ElapsedTimeSeconds":0.00039089999999999996,"PathFile":"/Dcm/SearchGenerationSummary"};
2012-05-08 17:32:57,214 | [14] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-08 17:32:57,230 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | {"ElapsedTimeSeconds":0.00125,"PathFile":"/Dcm/SearchGenerationSummary"};
