2012-07-17 15:24:54,654 | [20] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T15:24:50.7043401+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":1411,"end":"2012-07-17T15:24:52.119472+07:00","duration":"00:00:01.4151319"};
2012-07-17 15:25:00,765 | [16] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T15:24:56.9247001+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":1410,"end":"2012-07-17T15:24:58.3242811+07:00","duration":"00:00:01.3995810"};
2012-07-17 15:25:10,018 | [16] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T15:25:06.1774856+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":1420,"end":"2012-07-17T15:25:07.5926175+07:00","duration":"00:00:01.4151319"};
2012-07-17 15:25:26,595 | [16] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T15:25:22.754745+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":1390,"end":"2012-07-17T15:25:24.1387751+07:00","duration":"00:00:01.3840301"};
2012-07-17 15:25:33,515 | [16] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T15:25:29.9859135+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":1076,"end":"2012-07-17T15:25:31.0433747+07:00","duration":"00:00:01.0574612"};
2012-07-17 15:27:14,612 | [13] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T15:27:11.0823144+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":1094,"end":"2012-07-17T15:27:12.1708774+07:00","duration":"00:00:01.0885630"};
2012-07-17 15:28:11,932 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T15:28:08.3096264+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":1166,"end":"2012-07-17T15:28:09.4759439+07:00","duration":"00:00:01.1663175"};
2012-07-17 15:28:51,269 | [13] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T15:28:47.4853483+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":1331,"end":"2012-07-17T15:28:48.8090873+07:00","duration":"00:00:01.3237390"};
2012-07-17 15:29:06,407 | [13] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T15:29:02.5915463+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":1333,"end":"2012-07-17T15:29:03.9152853+07:00","duration":"00:00:01.3237390"};
2012-07-17 16:24:07,516 | [10] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T16:23:50.8863774+07:00","method":"SchemeSearchAll","name":"","code":"","success":"ALL","principleCode":"","effectiveDate":"","effectiveTime":"","elapsedMilliseconds":11862,"end":"2012-07-17T16:24:04.3214232+07:00","duration":"00:00:13.4350458"};
2012-07-17 16:24:31,004 | [9] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T16:24:27.1703526+07:00","method":"SchemeSearchAll","name":"","code":"","success":"ALL","principleCode":"","effectiveDate":"","effectiveTime":"","elapsedMilliseconds":1089,"end":"2012-07-17T16:24:28.2613656+07:00","duration":"00:00:01.0910130"};
2012-07-17 16:24:36,708 | [12] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T16:24:33.0774087+07:00","method":"SchemeSearchAll","name":"","code":"","success":"ALL","principleCode":"","effectiveDate":"","effectiveTime":"","elapsedMilliseconds":1137,"end":"2012-07-17T16:24:34.2151794+07:00","duration":"00:00:01.1377707"};
2012-07-17 16:24:49,754 | [10] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T16:24:46.0137057+07:00","method":"SchemeSearchAll","name":"","code":"","success":"ALL","principleCode":"","effectiveDate":"","effectiveTime":"","elapsedMilliseconds":1157,"end":"2012-07-17T16:24:47.1826482+07:00","duration":"00:00:01.1689425"};
2012-07-17 16:25:19,024 | [13] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T16:25:15.0190656+07:00","method":"SchemeSearchAll","name":"","code":"","success":"ALL","principleCode":"","effectiveDate":"","effectiveTime":"","elapsedMilliseconds":1146,"end":"2012-07-17T16:25:16.1724222+07:00","duration":"00:00:01.1533566"};
2012-07-17 17:57:29,848 | [7] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T17:57:09.5083355+07:00","method":"PrincipleSearchPaging","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":16239,"end":"2012-07-17T17:57:26.6685215+07:00","duration":"00:00:17.1601860"};
2012-07-17 17:57:43,158 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T17:57:36.5812175+07:00","method":"PrincipleSearchPaging","type":"configuration","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":3998,"end":"2012-07-17T17:57:40.5712335+07:00","duration":"00:00:03.9900160"};
2012-07-17 17:58:00,084 | [8] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T17:57:56.3598515+07:00","method":"PrincipleSearchPaging","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":1082,"end":"2012-07-17T17:57:57.4352855+07:00","duration":"00:00:01.0754340"};
2012-07-17 17:58:08,719 | [9] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T17:58:04.7762915+07:00","method":"PrincipleSearchPaging","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":1274,"end":"2012-07-17T17:58:06.0699295+07:00","duration":"00:00:01.2936380"};
2012-07-17 17:58:14,003 | [7] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T17:58:09.9508435+07:00","method":"PrincipleSearchPaging","type":"ALL","code":"","name":"dddd","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":1519,"end":"2012-07-17T17:58:11.4782715+07:00","duration":"00:00:01.5274280"};
2012-07-17 17:58:23,292 | [12] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T17:58:20.5804955+07:00","method":"PrincipleSearchPaging","type":"configuration","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":122,"end":"2012-07-17T17:58:20.7051835+07:00","duration":"00:00:00.1246880"};
